County of County_Animals,Year of County_Animals,HOGS - INVENTORY,TURKEYS - INVENTORY
DODGE,2011,,
DODGE,2012,163874,262050
DODGE,2013,,
DODGE,2014,,
DODGE,2015,,
DODGE,2016,,
DODGE,2017,169168,330719
DODGE,2018,,
DODGE,2019,,
DODGE,2020,,
DODGE,2021,,
DODGE,2022,243721,
DODGE,2023,,
DOUGLAS,2010,,
DOUGLAS,2011,,
DOUGLAS,2012,1198,9
DOUGLAS,2013,,
DOUGLAS,2014,,
DOUGLAS,2015,,
DOUGLAS,2016,,
DOUGLAS,2017,1089,
DOUGLAS,2018,,
DOUGLAS,2019,,
DOUGLAS,2020,,
DOUGLAS,2021,,
DOUGLAS,2022,1179,
DOUGLAS,2023,,
FARIBAULT,2010,,
FARIBAULT,2011,,
FARIBAULT,2012,249759,
FARIBAULT,2013,,
FARIBAULT,2014,,
FARIBAULT,2015,,
FARIBAULT,2016,,
FARIBAULT,2017,211593,
FARIBAULT,2018,,
FARIBAULT,2019,,
FARIBAULT,2020,,
FARIBAULT,2021,,
FARIBAULT,2022,278094,
FARIBAULT,2023,,
FILLMORE,2010,,
FILLMORE,2011,,
FILLMORE,2012,136778,
FILLMORE,2013,,
FILLMORE,2014,,
FILLMORE,2015,,
FILLMORE,2016,,
FILLMORE,2017,143545,
FILLMORE,2018,,
FILLMORE,2019,,
FILLMORE,2020,,
FILLMORE,2021,,
FILLMORE,2022,135192,
FILLMORE,2023,,
FREEBORN,2010,,
FREEBORN,2011,,
FREEBORN,2012,324837,49303
FREEBORN,2013,,
FREEBORN,2014,,
FREEBORN,2015,,
FREEBORN,2016,,
FREEBORN,2017,291430,113000
FREEBORN,2018,,
FREEBORN,2019,,
FREEBORN,2020,,
FREEBORN,2021,,
FREEBORN,2022,224400,59210
FREEBORN,2023,,
GOODHUE,2010,,
GOODHUE,2011,,
GOODHUE,2012,143804,302767
GOODHUE,2013,,
GOODHUE,2014,,
GOODHUE,2015,,
GOODHUE,2016,,
GOODHUE,2017,103073,543043
GOODHUE,2018,,
GOODHUE,2019,,
GOODHUE,2020,,
GOODHUE,2021,,
GOODHUE,2022,99919,
GOODHUE,2023,,
GRANT,2010,,
GRANT,2011,,
GRANT,2012,,
GRANT,2013,,
GRANT,2014,,
GRANT,2015,,
GRANT,2016,,
GRANT,2017,23320,
GRANT,2018,,
GRANT,2019,,
GRANT,2020,,
GRANT,2021,,
GRANT,2022,,
GRANT,2023,,
HENNEPIN,2010,,
HENNEPIN,2011,,
HENNEPIN,2012,86,
HENNEPIN,2013,,
HENNEPIN,2014,,
HENNEPIN,2015,,
HENNEPIN,2016,,
HENNEPIN,2017,55,110
HENNEPIN,2018,,
HENNEPIN,2019,,
HENNEPIN,2020,,
HENNEPIN,2021,,
HENNEPIN,2022,48,205
HENNEPIN,2023,,
HOUSTON,2010,,
HOUSTON,2011,,
HOUSTON,2012,22428,
HOUSTON,2013,,
HOUSTON,2014,,
HOUSTON,2015,,
HOUSTON,2016,,
HOUSTON,2017,12703,
HOUSTON,2018,,
HOUSTON,2019,,
HOUSTON,2020,,
HOUSTON,2021,,
HOUSTON,2022,18419,
HOUSTON,2023,,
HUBBARD,2010,,
HUBBARD,2011,,
HUBBARD,2012,181,12
HUBBARD,2013,,
HUBBARD,2014,,
HUBBARD,2015,,
HUBBARD,2016,,
HUBBARD,2017,1052,65
HUBBARD,2018,,
HUBBARD,2019,,
HUBBARD,2020,,
HUBBARD,2021,,
HUBBARD,2022,16,
HUBBARD,2023,,
ISANTI,2010,,
ISANTI,2011,,
ISANTI,2012,2771,
ISANTI,2013,,
ISANTI,2014,,
ISANTI,2015,,
ISANTI,2016,,
ISANTI,2017,,
ISANTI,2018,,
ISANTI,2019,,
ISANTI,2020,,
ISANTI,2021,,
ISANTI,2022,20543,
ISANTI,2023,,
ITASCA,2010,,
ITASCA,2011,,
ITASCA,2012,187,
ITASCA,2013,,
ITASCA,2014,,
ITASCA,2015,,
ITASCA,2016,,
ITASCA,2017,161,
ITASCA,2018,,
ITASCA,2019,,
ITASCA,2020,,
ITASCA,2021,,
ITASCA,2022,123,15
ITASCA,2023,,
JACKSON,2010,,
JACKSON,2011,,
JACKSON,2012,245947,28
JACKSON,2013,,
JACKSON,2014,,
JACKSON,2015,,
JACKSON,2016,,
JACKSON,2017,278724,
JACKSON,2018,,
JACKSON,2019,,
JACKSON,2020,,
JACKSON,2021,,
JACKSON,2022,229617,
JACKSON,2023,,
KANABEC,2010,,
KANABEC,2011,,
KANABEC,2012,160,470
KANABEC,2013,,
KANABEC,2014,,
KANABEC,2015,,
