State,County,ANSI,Ag District,Ag District Code,Year,CORN - ACRES PLANTED,"CORN, GRAIN - ACRES HARVESTED","CORN, GRAIN - PRODUCTION, MEASURED IN BU","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN, SILAGE - ACRES HARVESTED","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SOYBEANS - ACRES HARVESTED,SOYBEANS - ACRES PLANTED,"SOYBEANS - PRODUCTION, MEASURED IN BU","SOYBEANS - YIELD, MEASURED IN BU / ACRE",SUGARBEETS - ACRES HARVESTED,SUGARBEETS - ACRES PLANTED,"SUGARBEETS - PRODUCTION, MEASURED IN TONS","SUGARBEETS - SUCROSE, MEASURED IN PCT","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE"
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,2019,222000,214500,39100000,182.3,,,,192300,195000,9625000,50.1,,,,,
MINNESOTA,ROCK,27133,SOUTHWEST,70,2019,139000,120100,18000000,150.2,,,,90500,91500,4416000,48.8,,,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2019,91100,87700,14400000,164.3,,,,101000,103000,4253000,42.1,,,,,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,2019,124500,119600,22600000,188.8,4160,95000,23,85600,86200,4102000,47.9,,,,,
MINNESOTA,DOUGLAS,27041,WEST CENTRAL,40,2019,,,,,,,,69700,70200,2895000,41.5,,,,,
MINNESOTA,GRANT,27051,WEST CENTRAL,40,2019,125500,122900,21300000,172.9,2380,50000,21,91600,92500,3967000,43.3,,,,,
MINNESOTA,LAC QUI PARLE,27073,WEST CENTRAL,40,2019,141000,139700,25300000,181.1,,,,141100,143000,7047000,49.9,,,,,
MINNESOTA,OTTER TAIL,27111,WEST CENTRAL,40,2019,199000,185500,33400000,179.9,,,,150300,151500,6162000,41,,,,,
MINNESOTA,POPE,27121,WEST CENTRAL,40,2019,119000,114600,20800000,181.4,,,,,,,,,,,,
MINNESOTA,STEVENS,27149,WEST CENTRAL,40,2019,131500,101400,18100000,178.4,,,,92300,93000,3982000,43.1,,,,,
MINNESOTA,SWIFT,27151,WEST CENTRAL,40,2019,170500,155400,27400000,176.3,,,,104200,105000,4459000,42.8,,,,,
MINNESOTA,TRAVERSE,27155,WEST CENTRAL,40,2019,143500,134000,19900000,148.8,,,,120600,121500,4680000,38.8,,,,,
MINNESOTA,YELLOW MEDICINE,27173,WEST CENTRAL,40,2019,163000,156700,27300000,174,,,,127600,129000,5625000,44.1,,,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2020,52400,43900,8174000,186.2,8080,174000,21.5,37000,37300,1954000,52.8,,,,,
MINNESOTA,CARVER,27019,CENTRAL,50,2020,53700,49300,9865000,200.1,3910,92000,23.5,43100,43500,2517000,58.4,,,,,
MINNESOTA,KANDIYOHI,27067,CENTRAL,50,2020,159000,151700,29200000,192.2,5900,156000,26.5,103600,104500,5242000,50.6,,,,,
MINNESOTA,MCLEOD,27085,CENTRAL,50,2020,116000,113100,20900000,184.7,,,,87900,88600,4720000,53.7,,,,,
MINNESOTA,MEEKER,27093,CENTRAL,50,2020,121000,113900,21300000,187.3,5820,154000,26.5,100600,101500,5151000,51.2,,,,,
MINNESOTA,MORRISON,27097,CENTRAL,50,2020,99000,71500,12700000,177.2,26700,547000,20.5,33800,34100,1754000,51.9,,,,,
MINNESOTA,RENVILLE,27129,CENTRAL,50,2020,255500,248500,49300000,198.4,,,,186900,188500,9943000,53.2,,,,,
MINNESOTA,SCOTT,27139,CENTRAL,50,2020,35000,32700,6501000,198.8,1980,44600,22.5,33200,33500,1942000,58.5,,,,,
MINNESOTA,SHERBURNE,27141,CENTRAL,50,2020,25900,24000,4318000,179.9,1660,35700,21.5,20400,20600,1040000,51,,,,,
MINNESOTA,SIBLEY,27143,CENTRAL,50,2020,152500,145400,28800000,198.4,5770,127000,22,117500,118500,6686000,56.9,,,,,
MINNESOTA,STEARNS,27145,CENTRAL,50,2020,222000,181100,33700000,186.3,,,,103100,104000,5289000,51.3,,,,,
MINNESOTA,TODD,27153,CENTRAL,50,2020,73600,60400,9743000,161.3,12500,250000,20,54400,54900,2377000,43.7,,,,,
MINNESOTA,WADENA,27159,CENTRAL,50,2020,19500,16800,2760000,164.3,2530,43000,17,11000,11100,526000,47.8,,,,,
MINNESOTA,WRIGHT,27171,CENTRAL,50,2020,77700,72300,14600000,202.1,,,,73200,73800,4004000,54.7,,,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2020,2000,690,92900,134.6,1300,22100,17,7650,8300,295000,38.6,,,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2020,5600,5270,803000,152.4,280,5300,19,3240,3300,148000,45.7,,,,,
MINNESOTA,CARLTON,27017,EAST CENTRAL,60,2020,,,,,270,5900,22,,,,,,,,,
MINNESOTA,CHISAGO,27025,EAST CENTRAL,60,2020,23400,22500,3854000,171.3,,,,24500,24700,1073000,43.8,,,,,
MINNESOTA,CROW WING,27035,EAST CENTRAL,60,2020,8900,6580,957000,145.4,,,,3870,3900,150000,38.8,,,,,
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,2020,13100,12800,2518000,196.7,220,5100,23,10700,10800,578000,54,,,,,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,2020,30800,30000,4623000,154.1,,,,26200,26400,1098000,41.9,,,,,
MINNESOTA,MILLE LACS,27095,EAST CENTRAL,60,2020,20900,17500,2671000,152.6,3170,65000,20.5,17700,17900,740000,41.8,,,,,
MINNESOTA,PINE,27115,EAST CENTRAL,60,2020,18300,13100,2138000,163.2,5060,106000,21,16500,17800,790000,47.9,,,,,
MINNESOTA,WASHINGTON,27163,EAST CENTRAL,60,2020,16900,16300,3190000,195.7,460,11300,24.5,13300,13400,689000,51.8,,,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2020,4800,2130,259000,121.6,2630,39500,15,23900,24100,863000,36.1,,,,,
MINNESOTA,CASS,27021,NORTH CENTRAL,20,2020,6400,4220,645000,152.8,2130,38300,18,2380,2400,77300,32.5,,,,,
MINNESOTA,HUBBARD,27057,NORTH CENTRAL,20,2020,10400,9320,1208000,129.6,990,15800,16,,,,,,,,,
MINNESOTA,ITASCA,27061,NORTH CENTRAL,20,2020,800,560,66600,118.9,,,,3170,3200,117000,36.9,,,,,
MINNESOTA,KOOCHICHING,27071,NORTH CENTRAL,20,2020,,,,,,,,3470,3500,117000,33.7,,,,,
MINNESOTA,LAKE OF THE WOODS,27077,NORTH CENTRAL,20,2020,,,,,,,,20500,20700,699000,34.1,,,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2020,56800,51800,8008000,154.6,4500,90000,20,71800,72400,2807000,39.1,,,,,
MINNESOTA,CLAY,27027,NORTHWEST,10,2020,108000,105700,17500000,165.8,,,,182400,184000,7296000,40,,,,,
MINNESOTA,CLEARWATER,27029,NORTHWEST,10,2020,7200,6280,966000,153.8,860,16300,19,21300,21500,931000,43.7,,,,,
MINNESOTA,KITTSON,27069,NORTHWEST,10,2020,9300,7870,983000,124.9,1160,16200,14,115200,118500,3721000,32.3,,,,,
MINNESOTA,MAHNOMEN,27087,NORTHWEST,10,2020,28800,28000,4169000,148.9,580,10200,17.5,52400,52900,2028000,38.7,,,,,
MINNESOTA,MARSHALL,27089,NORTHWEST,10,2020,25800,24500,2994000,122.2,,,,250500,254000,8041000,32.1,,,,,
MINNESOTA,NORMAN,27107,NORTHWEST,10,2020,59200,58300,8704000,149.3,,,,156200,157500,5420000,34.7,,,,,
MINNESOTA,PENNINGTON,27113,NORTHWEST,10,2020,,,,,600,6900,11.5,107600,108500,3777000,35.1,,,,,
MINNESOTA,POLK,27119,NORTHWEST,10,2020,58800,56000,7902000,141.1,,,,307500,309500,11300000,36.7,,,,,
MINNESOTA,RED LAKE,27125,NORTHWEST,10,2020,15600,11600,1667000,143.7,3860,71000,18.5,76800,77500,2765000,36,,,,,
MINNESOTA,ROSEAU,27135,NORTHWEST,10,2020,5900,4160,518000,124.5,1690,22000,13,146600,148000,4105000,28,,,,,
MINNESOTA,BLUE EARTH,27013,SOUTH CENTRAL,80,2020,183000,179800,35600000,198.1,,,,164100,165500,9895000,60.3,,,,,
MINNESOTA,BROWN,27015,SOUTH CENTRAL,80,2020,161500,155300,31600000,203.7,4780,100000,21,124400,125500,7725000,62.1,,,,,
MINNESOTA,FARIBAULT,27043,SOUTH CENTRAL,80,2020,204000,201000,43200000,214.9,,,,180000,181500,11600000,64.5,,,,,
MINNESOTA,FREEBORN,27047,SOUTH CENTRAL,80,2020,188500,185200,37400000,202,,,,151700,153000,8874000,58.5,,,,,
MINNESOTA,LE SUEUR,27079,SOUTH CENTRAL,80,2020,81900,79400,15800000,199,1820,45500,25,83200,83900,4917000,59.1,,,,,
MINNESOTA,MARTIN,27091,SOUTH CENTRAL,80,2020,219000,216500,44100000,203.5,,,,153700,155000,9237000,60.1,,,,,
MINNESOTA,NICOLLET,27103,SOUTH CENTRAL,80,2020,117000,110800,22800000,205.9,5180,119000,23,86200,86900,5431000,63,,,,,
MINNESOTA,RICE,27131,SOUTH CENTRAL,80,2020,87700,83900,16400000,195.2,3090,74000,24,71100,71700,4067000,57.2,,,,,
MINNESOTA,STEELE,27147,SOUTH CENTRAL,80,2020,106000,103500,20900000,202,1520,36500,24,84000,84700,5090000,60.6,,,,,
MINNESOTA,WASECA,27161,SOUTH CENTRAL,80,2020,116500,114300,23400000,204.4,,,,86600,87300,5577000,64.4,,,,,
MINNESOTA,WATONWAN,27165,SOUTH CENTRAL,80,2020,131500,129500,26900000,208.1,,,,96800,97700,5983000,61.8,,,,,
MINNESOTA,DAKOTA,27037,SOUTHEAST,90,2020,86000,84400,15700000,186.2,,,,42500,42900,2308000,54.3,,,,,
MINNESOTA,DODGE,27039,SOUTHEAST,90,2020,119000,114400,23900000,209.3,3540,83000,23.5,87300,88000,5238000,60,,,,,
MINNESOTA,FILLMORE,27045,SOUTHEAST,90,2020,176500,155600,29900000,192.4,19400,485000,25,96200,97000,5408000,56.2,,,,,
MINNESOTA,GOODHUE,27049,SOUTHEAST,90,2020,155000,145500,28800000,198,8310,212000,25.5,93900,94700,5418000,57.7,,,,,
MINNESOTA,HOUSTON,27055,SOUTHEAST,90,2020,60000,49700,9314000,187.4,9790,250000,25.5,30200,30900,1576000,52.2,,,,,
MINNESOTA,MOWER,27099,SOUTHEAST,90,2020,205000,195500,39400000,201.6,,,,,,,,,,,,
MINNESOTA,OLMSTED,27109,SOUTHEAST,90,2020,114500,109200,21700000,198.4,4250,111000,26,73800,74400,4229000,57.3,,,,,
MINNESOTA,WABASHA,27157,SOUTHEAST,90,2020,94000,79900,16400000,205.4,13300,359000,27,43300,43700,2546000,58.8,,,,,
MINNESOTA,WINONA,27169,SOUTHEAST,90,2020,82900,65000,12800000,197.1,17200,464000,27,32000,32300,1837000,57.4,,,,,
MINNESOTA,COTTONWOOD,27033,SOUTHWEST,70,2020,170500,166500,34000000,204.1,,,,151200,152500,8921000,59,,,,,
MINNESOTA,JACKSON,27063,SOUTHWEST,70,2020,194500,190400,37300000,196.1,,,,171000,172500,9285000,54.3,,,,,
MINNESOTA,LINCOLN,27081,SOUTHWEST,70,2020,121500,116100,21100000,182.1,4350,104000,24,94600,95400,4645000,49.1,,,,,
MINNESOTA,LYON,27083,SOUTHWEST,70,2020,190000,185400,38000000,205.2,,,,142800,144000,7683000,53.8,,,,,
MINNESOTA,MURRAY,27101,SOUTHWEST,70,2020,184500,177400,34500000,194.4,5530,135000,24.5,161100,162500,8909000,55.3,,,,,
MINNESOTA,NOBLES,27105,SOUTHWEST,70,2020,216500,201500,37300000,185,,,,160600,162000,8672000,54,,,,,
MINNESOTA,PIPESTONE,27117,SOUTHWEST,70,2020,115000,92100,17400000,189.2,21900,482000,22,89500,90300,4654000,52,,,,,
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,2020,246500,241500,48700000,201.7,,,,203500,205500,11600000,57,,,,,
MINNESOTA,ROCK,27133,SOUTHWEST,70,2020,144000,135800,26500000,195.3,6960,164000,23.5,100100,101000,5836000,58.3,,,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2020,98300,96800,17900000,185.1,,,,112500,113500,5366000,47.7,,,,,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,2020,,,,,,,,94500,95300,5275000,55.8,,,,,
MINNESOTA,DOUGLAS,27041,WEST CENTRAL,40,2020,69800,64600,11900000,184.4,,,,77100,77800,3516000,45.6,,,,,
MINNESOTA,GRANT,27051,WEST CENTRAL,40,2020,119500,117100,20600000,176.1,,,,100100,101000,4454000,44.5,,,,,
MINNESOTA,LAC QUI PARLE,27073,WEST CENTRAL,40,2020,179000,176200,32100000,182.4,,,,168100,169500,8472000,50.4,,,,,
MINNESOTA,OTTER TAIL,27111,WEST CENTRAL,40,2020,180500,166500,29500000,177.4,12800,275000,21.5,170000,171500,7667000,45.1,,,,,
MINNESOTA,POPE,27121,WEST CENTRAL,40,2020,107500,102500,18400000,179.6,4040,85000,21,86700,87400,3988000,46,,,,,
MINNESOTA,STEVENS,27149,WEST CENTRAL,40,2020,142500,122900,23200000,188.7,18400,442000,24,103100,104000,4980000,48.3,,,,,
MINNESOTA,SWIFT,27151,WEST CENTRAL,40,2020,195000,176500,34100000,193.2,16800,420000,25,115500,116500,5914000,51.2,,,,,
MINNESOTA,TRAVERSE,27155,WEST CENTRAL,40,2020,139500,129600,22800000,176,,,,140600,142500,6229000,44.3,,,,,
MINNESOTA,WILKIN,27167,WEST CENTRAL,40,2020,113500,109900,17100000,155.3,2570,43700,17,157100,158500,5828000,37.1,,,,,
MINNESOTA,YELLOW MEDICINE,27173,WEST CENTRAL,40,2020,204500,199900,35600000,178,,,,160600,162000,7934000,49.4,,,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2021,55700,38100,5003000,131.3,16000,232000,14.5,33100,33400,1152000,34.8,,,,,
MINNESOTA,CARVER,27019,CENTRAL,50,2021,53500,48600,9030000,185.8,4250,100000,23.5,42500,42900,2448000,57.6,,,,,
MINNESOTA,MCLEOD,27085,CENTRAL,50,2021,116500,112200,21700000,193.2,,,,86900,87700,4614000,53.1,,,,,
MINNESOTA,MEEKER,27093,CENTRAL,50,2021,126500,119300,18500000,155.3,5620,101000,18,93700,94300,4235000,45.2,,,,,
MINNESOTA,MORRISON,27097,CENTRAL,50,2021,102500,68800,7589000,110.3,,,,35800,36200,1103000,30.8,,,,,
MINNESOTA,RENVILLE,27129,CENTRAL,50,2021,250500,243500,43100000,177.1,3990,88000,22,189600,191500,9897000,52.2,,,,,
MINNESOTA,SCOTT,27139,CENTRAL,50,2021,35400,33400,6673000,199.8,1530,38300,25,32800,33100,2050000,62.5,,,,,
MINNESOTA,SHERBURNE,27141,CENTRAL,50,2021,28400,26400,4409000,167,1630,22000,13.5,15700,16000,532000,33.9,,,,,
MINNESOTA,SIBLEY,27143,CENTRAL,50,2021,156500,148900,30200000,202.7,,,,118000,119000,7115000,60.3,,,,,
MINNESOTA,STEARNS,27145,CENTRAL,50,2021,225500,179500,26600000,148.2,,,,,,,,,,,,
MINNESOTA,TODD,27153,CENTRAL,50,2021,84000,71100,9286000,130.6,11900,190000,16,55000,55400,2024000,36.8,,,,,
MINNESOTA,WADENA,27159,CENTRAL,50,2021,22300,12100,1693000,139.9,9970,75000,7.5,11000,11800,395000,35.9,,,,,
MINNESOTA,WRIGHT,27171,CENTRAL,50,2021,80400,76000,11000000,144.1,,,,71100,71600,3278000,46.1,,,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2021,1700,800,75600,94.5,880,7500,8.5,,,,,,,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2021,5400,4100,458000,111.7,,,,3370,3400,116000,34.4,,,,,
MINNESOTA,CARLTON,27017,EAST CENTRAL,60,2021,,,,,410,6800,16.5,,,,,,,,,
MINNESOTA,CHISAGO,27025,EAST CENTRAL,60,2021,26800,25900,3758000,145.1,,,,22100,22300,944000,42.7,,,,,
MINNESOTA,CROW WING,27035,EAST CENTRAL,60,2021,10100,7540,718000,95.2,,,,4050,4100,83400,20.6,,,,,
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,2021,10600,9910,1549000,156.3,470,9200,19.5,12500,12600,641000,51.3,,,,,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,2021,32700,28300,3421000,120.9,4020,68000,17,24800,25000,905000,36.5,,,,,
MINNESOTA,KANABEC,27065,EAST CENTRAL,60,2021,15800,13700,1507000,110,,,,13800,13900,352000,25.5,,,,,
MINNESOTA,MILLE LACS,27095,EAST CENTRAL,60,2021,21900,17500,1902000,108.7,4170,50000,12,18400,18600,696000,37.8,,,,,
MINNESOTA,PINE,27115,EAST CENTRAL,60,2021,20100,15500,2110000,136.1,4340,72000,16.5,18400,18600,758000,41.2,,,,,
MINNESOTA,WASHINGTON,27163,EAST CENTRAL,60,2021,17700,16900,2586000,153,570,8800,15.5,13400,13500,685000,51.1,,,,,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,2021,7200,1570,123000,78.3,,,,26300,27300,684000,26,,,,,
MINNESOTA,CASS,27021,NORTH CENTRAL,20,2021,,,,,790,5100,6.5,3670,4000,144000,39.2,,,,,
MINNESOTA,HUBBARD,27057,NORTH CENTRAL,20,2021,12100,11000,1680000,152.7,930,5300,5.7,,,,,,,,,
MINNESOTA,ITASCA,27061,NORTH CENTRAL,20,2021,900,790,71800,90.9,,,,3080,3100,115000,37.3,,,,,
MINNESOTA,LAKE OF THE WOODS,27077,NORTH CENTRAL,20,2021,,,,,,,,23100,23300,665000,28.8,,,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2021,76800,64100,9743000,152,,,,76800,77500,2926000,38.1,,,,,
MINNESOTA,CLAY,27027,NORTHWEST,10,2021,160500,152900,23800000,155.6,,,,179600,181000,7615000,42.4,,,,,
MINNESOTA,CLEARWATER,27029,NORTHWEST,10,2021,8600,6830,676000,99,1290,14500,11,25200,25800,612000,24.3,,,,,
MINNESOTA,KITTSON,27069,NORTHWEST,10,2021,,,,,580,6500,11,129900,131000,3053000,23.5,,,,,
MINNESOTA,MAHNOMEN,27087,NORTHWEST,10,2021,45600,44000,4690000,106.6,950,12600,13.5,,,,,,,,,
MINNESOTA,MARSHALL,27089,NORTHWEST,10,2021,58200,56400,5640000,100,,,,276000,278000,8197000,29.7,,,,,
MINNESOTA,NORMAN,27107,NORTHWEST,10,2021,113000,109400,11600000,105.6,,,,176500,178000,4289000,24.3,,,,,
MINNESOTA,PENNINGTON,27113,NORTHWEST,10,2021,,,,,,,,124400,125500,2463000,19.8,,,,,
MINNESOTA,POLK,27119,NORTHWEST,10,2021,110000,104600,10600000,101.2,,,,316000,318500,7616000,24.1,,,,,
MINNESOTA,RED LAKE,27125,NORTHWEST,10,2021,29100,22800,2050000,89.9,5600,73000,13,88200,88900,1623000,18.4,,,,,
MINNESOTA,ROSEAU,27135,NORTHWEST,10,2021,20800,18700,1545000,82.6,1890,18000,9.5,185000,186500,4366000,23.6,,,,,
MINNESOTA,BLUE EARTH,27013,SOUTH CENTRAL,80,2021,183000,179600,36000000,200.4,,,,160700,162000,9947000,61.9,,,,,
MINNESOTA,BROWN,27015,SOUTH CENTRAL,80,2021,157500,144500,27000000,187.2,11000,253000,23,127400,128500,7619000,59.8,,,,,
MINNESOTA,FARIBAULT,27043,SOUTH CENTRAL,80,2021,209000,204500,39200000,191.5,,,,171000,172500,10300000,60.5,,,,,
MINNESOTA,FREEBORN,27047,SOUTH CENTRAL,80,2021,188000,184100,38100000,207,,,,149800,151000,9048000,60.4,,,,,
MINNESOTA,LE SUEUR,27079,SOUTH CENTRAL,80,2021,85300,82600,16800000,203.6,1620,42500,26,79000,79700,4898000,62,,,,,
MINNESOTA,MARTIN,27091,SOUTH CENTRAL,80,2021,209500,203500,39600000,194.4,,,,162100,163500,9726000,60,,,,,
MINNESOTA,NICOLLET,27103,SOUTH CENTRAL,80,2021,115500,109300,22800000,208.4,4750,126000,26.5,87300,88100,5500000,63,,,,,
MINNESOTA,RICE,27131,SOUTH CENTRAL,80,2021,88300,78900,15400000,195.8,8270,160000,19.5,70500,71200,4040000,57.3,,,,,
MINNESOTA,STEELE,27147,SOUTH CENTRAL,80,2021,110500,107800,22100000,205.2,,,,79900,80600,4946000,61.9,,,,,
MINNESOTA,WASECA,27161,SOUTH CENTRAL,80,2021,110000,108000,22900000,212.4,,,,92100,92900,6208000,67.4,,,,,
MINNESOTA,WATONWAN,27165,SOUTH CENTRAL,80,2021,123500,121100,25300000,209,,,,104100,105000,6527000,62.7,,,,,
MINNESOTA,DAKOTA,27037,SOUTHEAST,90,2021,81800,77100,14600000,189.2,3620,98000,27,46600,47000,2554000,54.8,,,,,
MINNESOTA,DODGE,27039,SOUTHEAST,90,2021,,,,,1340,34800,26,90100,90900,5415000,60.1,,,,,
MINNESOTA,FILLMORE,27045,SOUTHEAST,90,2021,176500,161700,32800000,203.1,12600,328000,26,98300,99200,6104000,62.1,,,,,
MINNESOTA,GOODHUE,27049,SOUTHEAST,90,2021,157000,142400,28400000,199.7,12700,324000,25.5,,,,,,,,,
MINNESOTA,HOUSTON,27055,SOUTHEAST,90,2021,60800,53600,10800000,200.8,6460,181000,28,30900,31200,1774000,57.4,,,,,
MINNESOTA,OLMSTED,27109,SOUTHEAST,90,2021,114500,108200,20400000,188.9,4840,119000,24.5,,,,,,,,,
MINNESOTA,WABASHA,27157,SOUTHEAST,90,2021,96600,86400,17800000,206.5,9030,226000,25,41700,42100,2606000,62.5,,,,,
MINNESOTA,WINONA,27169,SOUTHEAST,90,2021,79500,63900,13000000,204,14700,382000,26,37400,37700,2334000,62.4,,,,,
MINNESOTA,COTTONWOOD,27033,SOUTHWEST,70,2021,170500,163500,31700000,193.8,,,,148700,150000,8357000,56.2,,,,,
MINNESOTA,JACKSON,27063,SOUTHWEST,70,2021,190000,185600,35200000,189.6,1990,36800,18.5,173900,175500,10100000,57.8,,,,,
MINNESOTA,LINCOLN,27081,SOUTHWEST,70,2021,116000,110000,17700000,161.2,4510,86000,19,101600,102500,4674000,46,,,,,
MINNESOTA,LYON,27083,SOUTHWEST,70,2021,180500,174400,28400000,162.8,,,,151300,152500,6824000,45.1,,,,,
MINNESOTA,MURRAY,27101,SOUTHWEST,70,2021,182000,176600,34700000,196.5,3180,75000,23.5,162200,163500,9132000,56.3,,,,,
MINNESOTA,NOBLES,27105,SOUTHWEST,70,2021,205000,194300,39300000,202.5,,,,171000,172500,10800000,63.3,,,,,
MINNESOTA,PIPESTONE,27117,SOUTHWEST,70,2021,118500,107100,19500000,182.1,,,,88000,88800,4347000,49.4,,,,,
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,2021,240000,233500,40200000,172,,,,205500,207500,10700000,52.2,,,,,
MINNESOTA,ROCK,27133,SOUTHWEST,70,2021,138500,127100,26200000,206.4,9660,232000,24,105100,106000,6464000,61.5,,,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2021,107500,105400,19200000,181.9,,,,109100,110000,5411000,49.6,,,,,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,2021,147000,142000,26900000,189.1,,,,99600,100500,5239000,52.6,,,,,
MINNESOTA,DOUGLAS,27041,WEST CENTRAL,40,2021,79700,75500,10500000,138.9,,,,73800,74400,2745000,37.2,,,,,
MINNESOTA,GRANT,27051,WEST CENTRAL,40,2021,131500,128600,23100000,179.8,1150,23000,20,100600,101500,4698000,46.7,,,,,
MINNESOTA,OTTER TAIL,27111,WEST CENTRAL,40,2021,203000,169300,23700000,140,30700,414000,13.5,160800,164500,4438000,27.6,,,,,
MINNESOTA,POPE,27121,WEST CENTRAL,40,2021,122000,116400,16600000,142.7,,,,79500,80100,2981000,37.5,,,,,
MINNESOTA,STEVENS,27149,WEST CENTRAL,40,2021,146500,134200,23300000,173.8,10500,236000,22.5,104600,105500,4780000,45.7,,,,,
MINNESOTA,SWIFT,27151,WEST CENTRAL,40,2021,,,,,,,,119500,120500,5999000,50.2,,,,,
MINNESOTA,TRAVERSE,27155,WEST CENTRAL,40,2021,151500,146200,26200000,179.5,3390,68000,20,135800,137000,6328000,46.6,,,,,
MINNESOTA,WILKIN,27167,WEST CENTRAL,40,2021,136500,134200,20200000,150.3,,,,158100,159500,5660000,35.8,,,,,
MINNESOTA,BENTON,27009,CENTRAL,50,2022,54600,43800,7897000,180.3,10300,211000,20.5,33900,34200,1553000,45.8,,,,,
MINNESOTA,CARVER,27019,CENTRAL,50,2022,52900,50900,9915000,194.8,1810,36200,20,43300,43700,2576000,59.5,,,,,
MINNESOTA,KANDIYOHI,27067,CENTRAL,50,2022,,,,,,,,,,,,17441,,494986,,
MINNESOTA,MCLEOD,27085,CENTRAL,50,2022,111500,108200,20900000,193.5,2840,64000,22.5,91900,92600,4990000,54.3,,,,,
MINNESOTA,MEEKER,27093,CENTRAL,50,2022,117500,109700,19900000,181,6210,115000,18.5,99200,100000,4682000,47.2,,,,,
MINNESOTA,MORRISON,27097,CENTRAL,50,2022,102000,85300,15000000,175.9,16100,314000,19.5,34500,34800,1774000,51.4,,,,,
MINNESOTA,RENVILLE,27129,CENTRAL,50,2022,254500,248500,52900000,212.8,,,,195200,197000,10500000,53.6,35122,,894561,,
MINNESOTA,SCOTT,27139,CENTRAL,50,2022,34700,31800,5931000,186.5,1520,30400,20,33100,33400,1814000,54.8,,,,,
MINNESOTA,SHERBURNE,27141,CENTRAL,50,2022,29600,28300,5023000,177.5,,,,15600,15900,736000,47.2,,,,,
MINNESOTA,SIBLEY,27143,CENTRAL,50,2022,154000,148700,30700000,206.4,4590,101000,22,119600,120500,6961000,58.2,6049,,150505,,
MINNESOTA,STEARNS,27145,CENTRAL,50,2022,223000,158100,29300000,185.4,60100,1278000,21.5,106200,107000,5321000,50.1,10294,,302794,,
MINNESOTA,TODD,27153,CENTRAL,50,2022,79200,62200,10300000,164.9,16300,318000,19.5,55700,56100,2584000,46.4,,,,,
MINNESOTA,WADENA,27159,CENTRAL,50,2022,21800,17700,2814000,159,,,,11600,11700,513000,44.2,,,,,
MINNESOTA,WRIGHT,27171,CENTRAL,50,2022,75600,70700,13400000,188.9,,,,72700,73300,3759000,51.7,,,,,
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2022,2100,820,118000,143.9,1080,15700,14.5,4760,4800,132000,27.7,,,,,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2022,4500,4310,657000,152.4,,,,3670,3700,167000,45.5,,,,,
MINNESOTA,CARLTON,27017,EAST CENTRAL,60,2022,500,110,13300,120.9,390,6600,17,,,,,,,,,
MINNESOTA,CHISAGO,27025,EAST CENTRAL,60,2022,24100,23500,4167000,177.3,,,,23000,23200,994000,43.2,,,,,
MINNESOTA,CROW WING,27035,EAST CENTRAL,60,2022,10200,9550,1450000,151.8,,,,2980,3000,82800,27.8,,,,,
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,2022,11000,10000,1705000,170.5,,,,10200,10300,520000,51,,,,,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,2022,29900,27600,4593000,166.4,2030,47700,23.5,25900,26100,1086000,41.9,,,,,
MINNESOTA,KANABEC,27065,EAST CENTRAL,60,2022,14000,13390,2329000,173.9,,,,14400,14500,605000,42,,,,,
MINNESOTA,MILLE LACS,27095,EAST CENTRAL,60,2022,20800,19600,2973000,151.7,1020,15400,15,18300,18400,741000,40.5,,,,,
MINNESOTA,PINE,27115,EAST CENTRAL,60,2022,18100,15500,2499000,161.2,,,,19600,20000,802000,40.9,,,,,
