State,County,ANSI,Ag District,Ag District Code,Year,CORN - ACRES PLANTED,"CORN, GRAIN - ACRES HARVESTED","CORN, GRAIN - PRODUCTION, MEASURED IN BU","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN, SILAGE - ACRES HARVESTED","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SOYBEANS - ACRES HARVESTED,SOYBEANS - ACRES PLANTED,"SOYBEANS - PRODUCTION, MEASURED IN BU","SOYBEANS - YIELD, MEASURED IN BU / ACRE",SUGARBEETS - ACRES HARVESTED,SUGARBEETS - ACRES PLANTED,"SUGARBEETS - PRODUCTION, MEASURED IN TONS","SUGARBEETS - SUCROSE, MEASURED IN PCT","SUGARBEETS - YIELD, MEASURED IN TONS / ACRE"
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,2018,12500,11800,2219000,188.1,,,,12500,12600,615000,49.2,,,,,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,2018,31900,31200,4990000,159.9,,,,27900,28800,1024000,36.7,,,,,
MINNESOTA,KANABEC,27065,EAST CENTRAL,60,2018,,,,,,,,16300,16500,624000,38.3,,,,,
MINNESOTA,PINE,27115,EAST CENTRAL,60,2018,17400,13000,2097000,161.3,3870,65000,17,,,,,,,,,
MINNESOTA,WASHINGTON,27163,EAST CENTRAL,60,2018,18200,17200,3559000,206.9,,,,14100,14200,696000,49.4,,,,,
MINNESOTA,BECKER,27005,NORTHWEST,10,2018,57800,53500,9699000,181.3,3870,89000,23,76400,77000,3401000,44.5,5400,5400,179000,17.44,33.1
MINNESOTA,CLAY,27027,NORTHWEST,10,2018,136500,135600,25000000,184.6,,,,183100,184500,8343000,45.6,38700,39200,1119000,17.18,28.9
MINNESOTA,CLEARWATER,27029,NORTHWEST,10,2018,,,,,,,,24000,24200,944000,39.3,,,,,
MINNESOTA,KITTSON,27069,NORTHWEST,10,2018,14000,12500,1520000,121.6,1040,17200,16.5,128800,130000,4061000,31.5,24200,24400,527000,19,21.8
MINNESOTA,MAHNOMEN,27087,NORTHWEST,10,2018,,,,,2190,43800,20,,,,,2100,2200,64200,17.65,30.6
MINNESOTA,MARSHALL,27089,NORTHWEST,10,2018,,,,,,,,256000,259000,8712000,34,33300,33500,875000,18.96,26.3
MINNESOTA,NORMAN,27107,NORTHWEST,10,2018,,,,,,,,,,,,35300,36700,1140000,17.33,32.3
MINNESOTA,PENNINGTON,27113,NORTHWEST,10,2018,,,,,,,,,,,,1000,1000,27500,18.2,27.5
MINNESOTA,POLK,27119,NORTHWEST,10,2018,,,,,,,,284500,286500,12200000,42.7,88500,89500,2673000,18,30.2
MINNESOTA,RED LAKE,27125,NORTHWEST,10,2018,,,,,2430,57000,23.5,80100,80700,3043000,38,1000,1100,29300,17.35,29.3
MINNESOTA,ROSEAU,27135,NORTHWEST,10,2018,11600,9410,1235000,131.2,,,,159800,162000,5419000,33.9,,,,,
MINNESOTA,BLUE EARTH,27013,SOUTH CENTRAL,80,2018,179500,176900,30600000,173.1,,,,165400,167500,8742000,52.9,,,,,
MINNESOTA,BROWN,27015,SOUTH CENTRAL,80,2018,151000,139700,22300000,159.4,,,,125100,126500,6498000,51.9,,,,,
MINNESOTA,FARIBAULT,27043,SOUTH CENTRAL,80,2018,199500,196900,31800000,161.7,660,13000,19.5,177900,182000,9235000,51.9,,,,,
MINNESOTA,FREEBORN,27047,SOUTH CENTRAL,80,2018,186000,184600,32200000,174.6,,,,152500,154500,7902000,51.8,,,,,
MINNESOTA,LE SUEUR,27079,SOUTH CENTRAL,80,2018,83000,82200,15100000,184.1,,,,81200,82000,4096000,50.4,,,,,
MINNESOTA,MARTIN,27091,SOUTH CENTRAL,80,2018,202000,198900,32000000,160.7,,,,159800,163000,7964000,49.8,,,,,
MINNESOTA,NICOLLET,27103,SOUTH CENTRAL,80,2018,117000,109900,20400000,186,,,,86700,87600,4627000,53.4,,,,,
MINNESOTA,RICE,27131,SOUTH CENTRAL,80,2018,87500,82100,14800000,180.1,3880,86000,22,73100,74000,4076000,55.8,,,,,
MINNESOTA,STEELE,27147,SOUTH CENTRAL,80,2018,110000,107600,20700000,192.2,1840,44500,24,78800,80600,4233000,53.7,,,,,
MINNESOTA,WASECA,27161,SOUTH CENTRAL,80,2018,117000,113600,22400000,197.3,2660,54000,20.5,85900,86800,5057000,58.9,,,,,
MINNESOTA,WATONWAN,27165,SOUTH CENTRAL,80,2018,125500,123600,18600000,150.2,,,,99600,101500,5225000,52.5,,,,,
MINNESOTA,DAKOTA,27037,SOUTHEAST,90,2018,83700,81000,15800000,195.2,,,,48500,49000,2514000,51.8,,,,,
MINNESOTA,DODGE,27039,SOUTHEAST,90,2018,121000,117700,23600000,200.2,,,,87900,88600,5043000,57.4,,,,,
MINNESOTA,FILLMORE,27045,SOUTHEAST,90,2018,178000,168600,32400000,192.4,,,,98000,98800,5230000,53.4,,,,,
MINNESOTA,GOODHUE,27049,SOUTHEAST,90,2018,152500,144300,27800000,192.5,,,,100600,101500,5649000,56.2,,,,,
MINNESOTA,HOUSTON,27055,SOUTHEAST,90,2018,57200,47300,8878000,187.7,,,,,,,,,,,,
MINNESOTA,MOWER,27099,SOUTHEAST,90,2018,200500,196800,38200000,194.3,,,,154700,156000,8747000,56.5,,,,,
MINNESOTA,OLMSTED,27109,SOUTHEAST,90,2018,116000,101800,20500000,201.4,,,,73800,74500,4054000,54.9,,,,,
MINNESOTA,WABASHA,27157,SOUTHEAST,90,2018,94400,73200,14500000,198,,,,43300,43700,2479000,57.3,,,,,
MINNESOTA,WINONA,27169,SOUTHEAST,90,2018,83700,73300,14700000,200.9,,,,,,,,,,,,
MINNESOTA,COTTONWOOD,27033,SOUTHWEST,70,2018,165500,162100,28200000,173.7,1270,18700,14.5,152200,154500,7891000,51.8,,,,,
MINNESOTA,JACKSON,27063,SOUTHWEST,70,2018,187000,184500,30800000,167,230,4100,18,173500,178000,8556000,49.3,,,,,
MINNESOTA,LYON,27083,SOUTHWEST,70,2018,183500,176300,31700000,179.9,,,,145200,150000,7816000,53.8,,,,,
MINNESOTA,MURRAY,27101,SOUTHWEST,70,2018,175500,167000,28300000,169.3,,,,167500,171500,8360000,49.9,,,,,
MINNESOTA,NOBLES,27105,SOUTHWEST,70,2018,202000,196100,33100000,168.7,2130,46900,22,174900,177500,8642000,49.4,,,,,
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,2018,233500,231000,38500000,166.7,,,,208000,211000,10500000,50.3,5100,5600,76800,14.28,15.1
MINNESOTA,ROCK,27133,SOUTHWEST,70,2018,136500,120500,21900000,181.4,,,,108300,109500,6023000,55.6,,,,,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,2018,98100,97400,19300000,198.3,,,,113800,115000,5858000,51.5,,,,,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,2018,145000,139700,25700000,184.3,,,,100000,102000,5255000,52.6,32800,33500,573000,14.87,17.5
